105,fire emblem heroes,ios and,nintendo,strategy,24,0,1,1,3,1,0,1,2,3,4,0
388,xcom 2 war of the chosen,pc ps4 xbo,take two,strategy,22,2,0,0,2,2,0,1,3,1,1,0
549,zelda breath of the wild,PC,Other,Action,22,3,0,2,1,1,0,0,0,0,0,0
106,fire emblem warriors,nsw 3ds,koei tecmo,action,21,0,0,1,0,0,4,2,3,3,2,0
384,wonder boy the dragons trap,pc ps4 xbo nsw,dotemu,action adventure,21,0,1,1,1,2,1,2,1,3,1,2
82,elex,pc ps4 xbo,thq nordic,rpg,20,1,1,2,0,1,2,0,0,1,0,0
48,cosmic star heroine,pc ps4,zeboyd games,rpg,19,0,0,3,1,1,1,2,0,1,1,0
360,tom clancys ghost recon wildlands,pc ps4 xbo,ubisoft,shooter,19,2,1,0,1,2,0,0,1,0,1,0
476,wolfenstein 2 the new colossus,PC,Other,Action,19,0,1,0,3,2,1,0,1,3,0,0
67,dishonored death of the outsider,pc ps4 xbo,bethesda,shooter,18,0,1,0,1,1,0,2,3,1,5,1
495,danganronpa v3,PC,Other,Action,18,0,1,1,1,0,3,2,1,1,0,0
348,the legend of heroes trails in the sky the 3rd,pc,nihon falcom,rpg,17,1,0,1,1,3,1,0,0,0,0,1
425,resident evil vii,PC,Other,Action,17,0,0,2,0,1,3,1,1,1,0,0
71,doom,nsw,bethesda,shooter remake,16,0,0,1,1,1,1,1,3,1,2,1
89,ever oasis,3ds,nintendo,rpg,16,0,0,3,2,0,0,1,0,2,0,1
232,path of exile the fall of oriath,pc xbo,grinding gear games,rpg,16,0,1,0,2,2,1,1,1,1,0,0
488,ys viii lacrimosa of dana,PC,Other,Action,16,0,2,1,1,1,0,1,2,0,0,0
529,the legend of zelda,PC,Other,Action,16,4,0,0,0,0,0,0,0,0,0,0
395,yooka laylee,pc ps4 xbo nsw,team17,action,15,0,2,1,0,2,0,0,0,1,1,1
466,breath of the wild,PC,Other,Action,15,3,0,0,0,0,1,1,0,0,0,0
472,nierautomata,PC,Other,Action,14,2,0,1,1,0,0,0,0,1,0,0
282,snake pass,pc ps4 xbo nsw,sumo digital,action,13,0,1,0,2,0,0,1,2,1,2,1
356,thimbleweed park,pc ps4 xbo nsw ios and,terrible toybox,adventure,13,0,0,1,0,2,1,3,1,0,0,1
90,everybodys golf,ps4,sony,sports,12,0,0,1,0,0,0,1,3,4,1,1
439,assassin’s creed origins,PC,Other,Action,12,1,0,1,0,0,2,1,0,0,0,0
140,hatsune miku project diva future tone,ps4,sega,rhythm,11,0,2,1,0,0,0,2,0,0,0,0
312,stories untold,pc,devolver digital,adventure,11,1,1,0,0,1,1,0,0,0,0,0
338,the elder scrolls v skyrim,nsw,bethesda,rpg remake,11,1,0,0,1,1,0,0,1,1,1,0
362,total war warhammer ii,pc,sega,strategy,11,0,0,2,0,1,1,1,0,0,0,0
448,hellblade,PC,Other,Action,11,0,1,0,1,2,0,0,2,0,0,0
505,skyrim vr,PC,Other,Action,11,0,1,1,1,0,1,0,1,0,0,0
544,okami hd,PC,Other,Action,11,0,0,2,1,0,1,0,0,1,0,0
88,etrian odyssey v beyond the myth,3ds,atlus,rpg,10,1,0,0,0,0,1,0,1,2,1,1
112,for honor,pc ps4 xbo,ubisoft,fighting,10,0,0,0,0,1,2,1,0,1,2,0
138,halo wars 2,pc xbo,microsoft,strategy,10,1,0,0,1,1,0,1,0,1,0,0
165,kingdom hearts hd 1.5 + 2.5 remix,ps4,square enix,rpg remake,10,1,0,0,1,1,1,0,0,0,0,0
178,lone echo,pc,oculus,vr action adventure,10,0,0,1,0,1,1,0,0,2,1,0
203,monster hunter stories,3ds,capcom,rpg,10,0,2,0,0,0,1,1,0,0,1,0
328,tacoma,pc xbo,fullbright,adventure,10,0,0,0,1,2,1,1,1,0,0,0
353,the sexy brutale,pc ps4 xbo,tequilla works,adventure,10,0,0,0,1,1,1,1,2,1,0,0
382,wipeout omega collection,ps4,sony,racing remake,10,0,0,0,1,1,1,1,1,1,1,1
422,pokemon ultra sun ultra moon,PC,Other,Action,10,0,0,0,0,1,2,0,0,2,2,0
427,snipperclips,PC,Other,Action,10,0,0,0,1,1,1,0,0,2,2,0
489,xenoblade 2,PC,Other,Action,10,0,1,2,0,0,0,1,0,0,0,0
63,diablo iii rise of the necromancer,pc ps4 xbo,activision blizzard,rpg,9,0,0,1,1,0,2,0,0,0,0,0
142,heat signature,pc,suspicious developments,action,9,0,0,1,1,0,0,1,1,1,1,0
191,middle earth shadow of war,pc ps4 xbo,wb,action adventure,9,0,0,1,1,0,1,0,0,0,2,0
222,observer,pc ps4 xbo,aspyr,horror,9,0,0,1,0,0,1,0,1,1,2,0
247,project cars 2,pc ps4 xbo,bandai namco,vr racing,9,1,0,1,0,1,0,0,0,0,0,0
259,rez infinite,pc,enhance games,vr rhythm remake,9,0,0,1,1,0,0,2,0,0,2,1
276,shovel knight specter of torment,pc ps4 xbo nsw,yacht club games,action,9,0,0,0,3,0,1,0,0,0,1,0
361,torment tides of numenera,pc ps4 xbo,inxile entertainment,rpg,9,0,1,0,0,2,1,0,0,0,0,0
371,va 11 hall a,vita,ysbryd games,simulation,9,0,1,2,0,0,0,0,0,0,0,0
429,player unknowns battlegrounds,PC,Other,Action,9,1,0,1,0,0,1,0,0,0,0,0
435,mario + rabbids,PC,Other,Action,9,0,0,1,0,1,2,0,0,0,0,0
447,fortnite,PC,Other,Action,9,0,0,0,2,0,1,1,0,1,1,0
467,steam world dig 2,PC,Other,Action,9,0,1,0,0,1,1,0,1,1,0,0
3,a hat in time,pc ps4 xbo,gears for breakfast,action,8,0,0,0,0,2,0,3,1,0,0,0
58,dead cells,pc,motion twin,action adventure,8,0,1,1,0,0,0,0,1,0,1,0
75,dragons dogma dark arisen,pc ps4 xbo,capcom,rpg,8,1,0,0,0,1,0,1,1,0,0,0
284,snipperclips cut it out together!,nsw,nintendo,puzzle,8,0,0,1,0,1,0,1,1,1,0,0
326,superhot,ps4,superhot team,puzzle remake,8,1,0,0,1,0,1,0,0,0,0,0
434,ys viii,PC,Other,Action,8,0,0,2,1,0,0,0,0,0,0,0
