Game Number,Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
58,Hatsune Miku: Project Diva Future Tone,PS4,SEGA,Rhythm,0,0,0,0,0,0,0,0,0,0,0,0
59,Rakuen,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
60,FIFA 18,PC PS4 PS3 XBO 360 NSW,EA,Sports,0,0,0,0,0,0,0,0,0,0,0,0
61,The End is Nigh,PC,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
62,Pro Evolution Soccer 2018,PC PS4 PS3 XBO 360,Konami,Sports,0,0,0,0,0,0,0,0,0,0,0,0
63,Hakuoki: Kyoto Winds,PC VITA,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
64,Hellblade: Senua's Sacrifice,PC PS4,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
65,Puyo Puyo Tetris,PS4 NSW,SEGA,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
66,Splatoon 2,NSW,Nintendo,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
67,BYE BYE BOXBOY!,3DS,Nintendo,Puzzle,0,0,0,0,0,0,0,0,0,0,0,0
68,Bleed 2,PC,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
69,The Sexy Brutale,PC PS4 XBO,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
70,Path of Exile: The Fall of Oriath,PC XBO,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
71,The Legend of Heroes: Trails in the Sky the 3rd,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
72,Little Nightmares,PC. PS4 XBO,Bandai Namco,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
73,Steel Division: Normandy 44,PC,Other,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
74,Super Hydrorah,PC XBO,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
75,Madden NFL 18,PS4 XBO,EA,Sports,0,0,0,0,0,0,0,0,0,0,0,0
