Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
dangun feveron,ps4 xbo,m2,action remake,0,0,0,0,0,0,0,0,0,0,0,0
dark eclipse,ps4,sunsoft,vr strategy,0,0,0,0,0,0,0,0,0,0,0,0
dark souls remastered,pc ps4 xbo nsw,bandai namco,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
darkest dungeon,nsw,red hook studios,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
darksiders iii,pc ps4 xbo,thq nordic,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
dead cells,pc ps4 xbo nsw,motion twin,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
dead in vinland,pc,playdius,rpg,0,0,0,0,0,0,0,0,0,0,0,0
death mark,ps4 vita nsw,aksys games,adventure,0,0,0,0,0,0,0,0,0,0,0,0
deaths gambit,pc ps4,adult swim games,action,0,0,0,0,0,0,0,0,0,0,0,0
deep rock galactic,pc xbo,coffee stain publishing,shooter,0,0,0,0,0,0,0,0,0,0,0,0
defector,pc,oculus,vr action,0,0,0,0,0,0,0,0,0,0,0,0
delete,pc,pony,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
deltarune chapter 1,pc,toby fox,rpg,0,0,0,0,0,0,0,0,0,0,0,0
déraciné,ps4,sony,vr adventure,0,0,0,0,0,0,0,0,0,0,0,0
destiny 2 forsaken,pc ps4 xbo,activision blizzard,shooter,0,0,0,0,0,0,0,0,0,0,0,0
detective case and clown bot in the express killer,pc,nerd monkeys,adventure,0,0,0,0,0,0,0,0,0,0,0,0
detroit become human,ps4,sony,adventure,0,0,0,0,0,0,0,0,0,0,0,0
diablo iii the eternal collection,nsw,activision blizzard,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
dig dog treasure hunter,mob,rusty moyher,action,0,0,0,0,0,0,0,0,0,0,0,0
