Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
sairento vr,pc,mixed realms pte ltd,vr rpg,0,0,0,0,0,0,0,0,0,0,0,0
sea of thieves,pc xbo,microsoft,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
sega genesis classics,ps4 xbo nsw,sega,action remake,0,0,0,0,0,0,0,0,0,0,0,0
semblance,pc,good shepherd entertainment,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
shadow of the colossus,ps4,sony,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
shadow of the tomb raider,pc ps4 xbo,square enix,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
shadowgun legends,mob,madfinger games,shooter,0,0,0,0,0,0,0,0,0,0,0,0
shantae half genie hero ultimate edition,pc ps4 xbo nsw,wayforward,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
shape of the world,pc ps4 xbo nsw,plug in digital,adventure,0,0,0,0,0,0,0,0,0,0,0,0
shapeshifting detective,pc ps4 xbo nsw,wales interactive,adventure,0,0,0,0,0,0,0,0,0,0,0,0
shenmue i & ii,pc ps4 xbo,sega,adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
shikhondo soul eater,pc ps4 nsw,deerfarm,action,0,0,0,0,0,0,0,0,0,0,0,0
shin megami tensei liberation dx2,mob,sega,rpg,0,0,0,0,0,0,0,0,0,0,0,0
shin megami tensei strange journey redux,3ds,atlus,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
shining resonance refrain,pc ps4 xbo nsw,sega,rpg,0,0,0,0,0,0,0,0,0,0,0,0
sid meiers civilization vi,nsw,take two,strategy remake,0,0,0,0,0,0,0,0,0,0,0,0
sid meiers civilization vi rise and fall,pc,take two,strategy,0,0,0,0,0,0,0,0,0,0,0,0
slay the spire,nq,nq,nq,0,0,0,0,0,0,0,0,0,0,0,0
sneak ops,mob,noodlecake studios inc,action,0,0,0,0,0,0,0,0,0,0,0,0
snk 40th anniversary collection,nsw,snk,action remake,0,0,0,0,0,0,0,0,0,0,0,0
snk heroines tag team frenzy,ps4 nsw,snk,fighting,0,0,0,0,0,0,0,0,0,0,0,0
sonic mania plus,pc ps4 xbo nsw,sega,action remake,0,0,0,0,0,0,0,0,0,0,0,0
soulcalibur vi,pc ps4 xbo,bandai namco,fighting,0,0,0,0,0,0,0,0,0,0,0,0
splatoon 2 octo expansion,nsw,nintendo,shooter,0,0,0,0,0,0,0,0,0,0,0,0
sprint vector,pc ps4,survios,vr racing,0,0,0,0,0,0,0,0,0,0,0,0
spyro reignited trilogy,pc ps4 xbo,activision blizzard,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
starlink battle for atlas,ps4 xbo nsw,ubisoft,action,0,0,0,0,0,0,0,0,0,0,0,0
state of decay 2,pc xbo,microsoft,horror,0,0,0,0,0,0,0,0,0,0,0,0
stellaris megacorp,pc,paradox,strategy,0,0,0,0,0,0,0,0,0,0,0,0
street fighter 30th anniversary collection,pc ps4 xbo nsw,capcom,fighting remake,0,0,0,0,0,0,0,0,0,0,0,0
street fighter v arcade edition,pc ps4,capcom,fighting remake,0,0,0,0,0,0,0,0,0,0,0,0
subnautica,pc xbo,unknown worlds entertainment,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
sunset overdrive,pc,microsoft,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
super hydorah,pc ps4 vita xbo nsw mob,abylight,action,0,0,0,0,0,0,0,0,0,0,0,0
super mario party,nsw,nintendo,prcb,0,0,0,0,0,0,0,0,0,0,0,0
super meat boy,nsw,team meat,action remake,0,0,0,0,0,0,0,0,0,0,0,0
super mega baseball 2,pc ps4 xbo,metalhead software,sports,0,0,0,0,0,0,0,0,0,0,0,0
super one more jump,nsw,smg studio,action,0,0,0,0,0,0,0,0,0,0,0,0
super robot wars x,ps4 vita,bandai namco,rpg,0,0,0,0,0,0,0,0,0,0,0,0
super smash bros ultimate,nsw,nintendo,fighting,0,0,0,0,0,0,0,0,0,0,0,0
supertype,mob,philipp stollenmayer,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
surviving mars,pc ps4 xbo,paradox interactive,strategy,0,0,0,0,0,0,0,0,0,0,0,0
sushi striker the way of sushido,nsw 3ds,nintendo,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
suzy cube,pc mob,noodlecake studios inc,action,0,0,0,0,0,0,0,0,0,0,0,0
synthetik legion rising,pc,flow fire games,action,0,0,0,0,0,0,0,0,0,0,0,0
taiko no tatsujin drum n fun,nsw,bandai namco,prcb,0,0,0,0,0,0,0,0,0,0,0,0
taiko no tatsujin drum session,ps4,bandai namco,prcb,0,0,0,0,0,0,0,0,0,0,0,0
tangledeep,pc nsw,impact gameworks,rpg,0,0,0,0,0,0,0,0,0,0,0,0
teen titans go figure,mob,cartoon network,rpg,0,0,0,0,0,0,0,0,0,0,0,0
tempest 4000,pc ps4 xbo,atari,action,0,0,0,0,0,0,0,0,0,0,0,0
tetris effect,ps4,enhance games,vr puzzle,0,0,0,0,0,0,0,0,0,0,0,0
the 25th ward the silver case,pc ps4,nippon ichi,adventure,0,0,0,0,0,0,0,0,0,0,0,0
the adventure pals,pc ps4 xbo nsw,armor games,action,0,0,0,0,0,0,0,0,0,0,0,0
the alliance alive,3ds,atlus,rpg,0,0,0,0,0,0,0,0,0,0,0,0
the awesome adventures of captain spirit,pc ps4 xbo,square enix,adventure,0,0,0,0,0,0,0,0,0,0,0,0
the banner saga 3,pc ps4 xbo nsw,versus evil,strategy,0,0,0,0,0,0,0,0,0,0,0,0
the council,ps4 xbo,focus,adventure,0,0,0,0,0,0,0,0,0,0,0,0
the crew 2,pc ps4 xbo,ubisoft,racing,0,0,0,0,0,0,0,0,0,0,0,0
the elder scrolls online summerset,pc ps4 xbo,bethesda,rpg,0,0,0,0,0,0,0,0,0,0,0,0
the forest,pc,sks games,horror,0,0,0,0,0,0,0,0,0,0,0,0
the gardens between,pc ps4 nsw,the voxel agents,adventure,0,0,0,0,0,0,0,0,0,0,0,0
the house in fata morgana a requiem for innocence,pc,mangagamer,adventure,0,0,0,0,0,0,0,0,0,0,0,0
the inpatient,ps4,sony,vr horror,0,0,0,0,0,0,0,0,0,0,0,0
the jackbox party pack 5,pc ps4 xbo nsw mob,jackbox games,prcb,0,0,0,0,0,0,0,0,0,0,0,0
the last remnant remastered,ps4,square enix,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
the legend of heroes trails of cold steel ii,pc ps4,nihon falcom,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
the messenger,pc nsw,devolver digital,action,0,0,0,0,0,0,0,0,0,0,0,0
the missing jj macfield and the island of memories,pc ps4 xbo nsw,arc system works,horror,0,0,0,0,0,0,0,0,0,0,0,0
the persistence,ps4,firesprite,vr horror,0,0,0,0,0,0,0,0,0,0,0,0
the quiet man,pc ps4 xbo,square enix,action,0,0,0,0,0,0,0,0,0,0,0,0
the red strings club,pc,devolver digital,adventure,0,0,0,0,0,0,0,0,0,0,0,0
the room old sins,mob,fireproof games,adventure,0,0,0,0,0,0,0,0,0,0,0,0
the room three,pc,fireproof games,adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
the shapeshifting detective,pc ps4 xbo nsw,wales interactive,adventure,0,0,0,0,0,0,0,0,0,0,0,0
the sims 4 seasons,pc,ea,simulation,0,0,0,0,0,0,0,0,0,0,0,0
the vagrant,pc,sakuragame,action,0,0,0,0,0,0,0,0,0,0,0,0
the witcher 3 blood & wine,nq,nq,nq,0,0,0,0,0,0,0,0,0,0,0,0
the world ends with you final remix,nsw,square enix,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
thronebreaker the witcher tales,pc ps4 xbo,cd project red,adventure,0,0,0,0,0,0,0,0,0,0,0,0
timespinner,pc ps4 vita,chucklefish,adventure,0,0,0,0,0,0,0,0,0,0,0,0
tiny bubbles,pc mob,pine street codeworks llc,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
total war warhammer ii rise of the tomb kings,pc,sega,strategy,0,0,0,0,0,0,0,0,0,0,0,0
touhou luna nights,pc,agm playism,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
transference,pc ps4 xbo,ubisoft,vr horror,0,0,0,0,0,0,0,0,0,0,0,0
transistor,nsw,supergiant games,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
twinfold,pc mob,kenny sun,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
two point hospital,pc,sega,simulation,0,0,0,0,0,0,0,0,0,0,0,0
unavowed,pc,wadjet eye games,adventure,0,0,0,0,0,0,0,0,0,0,0,0
under night in birth exelate[st],ps4 ps3 vita,aksys games,fighting,0,0,0,0,0,0,0,0,0,0,0,0
undertale,nsw,toby fox,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
unforeseen incidents,pc,application studios heldelberg,adventure,0,0,0,0,0,0,0,0,0,0,0,0
unravel two,pc ps4 xbo,ea,action,0,0,0,0,0,0,0,0,0,0,0,0
valiant hearts the great war,nsw,ubisoft,adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
valkyria chronicles,nsw,sega,strategy remake,0,0,0,0,0,0,0,0,0,0,0,0
valkyria chronicles 4,pc ps4 xbo nsw,sega,strategy,0,0,0,0,0,0,0,0,0,0,0,0
valleys between,mob,little lost foxes,simulation,0,0,0,0,0,0,0,0,0,0,0,0
vampyr,pc ps4 xbo,dontnod,rpg,0,0,0,0,0,0,0,0,0,0,0,0
velocity 2x,nsw,futurlab,action remake,0,0,0,0,0,0,0,0,0,0,0,0
wandersong,pc nsw,greg lobanov,adventure,0,0,0,0,0,0,0,0,0,0,0,0
warframe,nsw,digital extremes,action remake,0,0,0,0,0,0,0,0,0,0,0,0
warhammer 40000 gladius relics of war,pc,slitherine ltd,strategy,0,0,0,0,0,0,0,0,0,0,0,0
warhammer vermintide 2,pc,fatshark ab,action,0,0,0,0,0,0,0,0,0,0,0,0
warioware gold,3ds,nintendo,prcb,0,0,0,0,0,0,0,0,0,0,0,0
warriors orochi 4,pc ps4 xbo nsw,koei tecmo,action,0,0,0,0,0,0,0,0,0,0,0,0
west of loathing,nsw,asymetric publications,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
where shadows slumber,mob,game revenant ltd,adventure,0,0,0,0,0,0,0,0,0,0,0,0
where the water tastes like wine,pc,good shepherd entertainment,adventure,0,0,0,0,0,0,0,0,0,0,0,0
wipeout omega collection,ps4,sony,vr racing remake,0,0,0,0,0,0,0,0,0,0,0,0
wizard of legend,pc ps4 xbo nsw,contingent99,action,0,0,0,0,0,0,0,0,0,0,0,0
wolfenstein ii the new colossus,nsw,bethesda,shooter remake,0,0,0,0,0,0,0,0,0,0,0,0
world of final fantasy maxima,pc ps4 xbo nsw,square enix,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
world of warcraft battle for azeroth,pc,activision blizzard,rpg,0,0,0,0,0,0,0,0,0,0,0,0
world of warships blitz,mob,wargaming group limited,strategy,0,0,0,0,0,0,0,0,0,0,0,0
wreckfest,pc ps4 xbo,thq nordic,racing,0,0,0,0,0,0,0,0,0,0,0,0
xenoblade chronicles 2 torna the golden country,nsw,nintendo,rpg,0,0,0,0,0,0,0,0,0,0,0,0
yakuza 0,pc,sega,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
yakuza 6 the song of life,ps4,sega,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
yakuza kiwami 2,ps4,sega,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
yokus island express,pc ps4 xbo nsw,team 17,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
ys viii lacrimosa of dana,nsw,nis america,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
zeroranger,pc,system erasure,action,0,0,0,0,0,0,0,0,0,0,0,0
zone of the enders vr,pc ps4,konami,vr action,0,0,0,0,0,0,0,0,0,0,0,0
zwei the arges adventure,pc,nihon falcom,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
