Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
detention,pc ps4,red candle games,horror,0,0,0,0,0,0,0,0,0,0,0,0
diablo iii rise of the necromancer,pc ps4 xbo,activision blizzard,rpg,0,0,0,0,0,0,0,0,0,0,0,0
digimon world next order,ps4 vita,bandai namco,rpg,0,0,0,0,0,0,0,0,0,0,0,0
dirt 4,pc ps4 xbo,codemasters,racing,0,0,0,0,0,0,0,0,0,0,0,0
disgaea 5 complete,nsw,nippon ichi,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
dishonored death of the outsider,pc ps4 xbo,bethesda,shooter,0,0,0,0,0,0,0,0,0,0,0,0
divinity original sin ii,pc,larian studios,rpg,0,0,0,0,0,0,0,0,0,0,0,0
djmax respect,ps4,neowiz games,rhythm,0,0,0,0,0,0,0,0,0,0,0,0
doki doki literature club,pc,team salvato,adventure,0,0,0,0,0,0,0,0,0,0,0,0
doom,nsw,bethesda,shooter remake,0,0,0,0,0,0,0,0,0,0,0,0
doom vfr,pc,bethesda,vr shooter remake,0,0,0,0,0,0,0,0,0,0,0,0
dragon quest heroes ii,pc ps4 vita nsw,square enix,rpg,0,0,0,0,0,0,0,0,0,0,0,0
dragon quest viii journey of the cursed king,3ds,square enix,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
dragon quest xi,ps4 3ds,square enix,rpg,0,0,0,0,0,0,0,0,0,0,0,0
dragonball xenoverse 2,nsw,bandai namco,fighting remake,0,0,0,0,0,0,0,0,0,0,0,0
dragons dogma dark arisen,pc ps4 xbo,capcom,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
drawn to death,ps4,sony,action,0,0,0,0,0,0,0,0,0,0,0,0
dream daddy a dad dating simulator,pc,game grumps,adventure,0,0,0,0,0,0,0,0,0,0,0,0
dropmix,ios and,hasbro,board+card,0,0,0,0,0,0,0,0,0,0,0,0
dungeons & dragons online mists of ravenloft,pc,hasbro,rpg,0,0,0,0,0,0,0,0,0,0,0,0
dungeons 3,pc ps4 xbo,kalypso,strategy,0,0,0,0,0,0,0,0,0,0,0,0
echo,ps4 pc,ultra ultra,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
eiyuu densetsu sen no kiseki iii,ps4,nihon falcom,rpg,0,0,0,0,0,0,0,0,0,0,0,0
elex,pc ps4 xbo,thq nordic,rpg,0,0,0,0,0,0,0,0,0,0,0,0
elite dangerous,ps4,frontier developments,simulation remake,0,0,0,0,0,0,0,0,0,0,0,0
embers of mirrim,pc ps4 xbo,creative bytes studios,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
emily is away too,pc,kyle seeley,simulation,0,0,0,0,0,0,0,0,0,0,0,0
endless space 2,pc,sega,strategy,0,0,0,0,0,0,0,0,0,0,0,0
enter the gungeon,nsw,devolver digital,action remake,0,0,0,0,0,0,0,0,0,0,0,0
etrian odyssey v beyond the myth,3ds,atlus,rpg,0,0,0,0,0,0,0,0,0,0,0,0
ever oasis,3ds,nintendo,rpg,0,0,0,0,0,0,0,0,0,0,0,0
everybodys golf,ps4,sony,sports,0,0,0,0,0,0,0,0,0,0,0,0
everything,pc ps4,double fine,adventure,0,0,0,0,0,0,0,0,0,0,0,0
evil factory,ios and,nexon,action,0,0,0,0,0,0,0,0,0,0,0,0
f1 2017,pc ps4 xbo,codemasters,racing,0,0,0,0,0,0,0,0,0,0,0,0
faeria,pc,abrakam sa,board+card,0,0,0,0,0,0,0,0,0,0,0,0
fallout 4 vr,pc,bethesda,vr rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
farpoint,ps4,sony,vr adventure,0,0,0,0,0,0,0,0,0,0,0,0
fast rmx,nsw,shinem,racing remake,0,0,0,0,0,0,0,0,0,0,0,0
fidel dungeon rescue,pc,ludomancy,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
fifa 18,pc ps4 ps3 xbo 360 nsw,ea,sports,0,0,0,0,0,0,0,0,0,0,0,0
fighting fantasy legends,pc ios and,nomad games,board+card,0,0,0,0,0,0,0,0,0,0,0,0
figment,pc,bedtime digital games,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
final fantasy xii the zodiac age,pc ps4 ps3,square enix,rpg,0,0,0,0,0,0,0,0,0,0,0,0
final fantasy xiv stormblood,pc ps4 ps3,square enix,rpg,0,0,0,0,0,0,0,0,0,0,0,0
finding paradise,pc,freebird games,adventure,0,0,0,0,0,0,0,0,0,0,0,0
fire emblem echoes shadows of valentia,3ds,nintendo,strategy remake,0,0,0,0,0,0,0,0,0,0,0,0
fire emblem heroes,ios and,nintendo,strategy,0,0,0,0,0,0,0,0,0,0,0,0
fire emblem warriors,nsw 3ds,koei tecmo,action,0,0,0,0,0,0,0,0,0,0,0,0
fire pro wrestling world,pc ps4,spike chunsoft,fighting,0,0,0,0,0,0,0,0,0,0,0,0
flatout 4 total insanity,pc ps4 xbo,strategy first,racing,0,0,0,0,0,0,0,0,0,0,0,0
flinthook,pc ps4 xbo,tribute games,action,0,0,0,0,0,0,0,0,0,0,0,0
flipping legend,ios and,noodlecake studios,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
football manager 2018,pc,sega,sports simulation,0,0,0,0,0,0,0,0,0,0,0,0
for honor,pc ps4 xbo,ubisoft,fighting,0,0,0,0,0,0,0,0,0,0,0,0
fortnite,nq,nq,nq,0,0,0,0,0,0,0,0,0,0,0,0
fortnite battle royale,nq,nq,nq,0,0,0,0,0,0,0,0,0,0,0,0
forza horizon 3 hot wheels,pc xbo,microsoft,racing,0,0,0,0,0,0,0,0,0,0,0,0
forza motorsport 7,pc xbo,microsoft,racing,0,0,0,0,0,0,0,0,0,0,0,0
framed 2,ios and,noodlecake studios,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
friday the 13th the game,pc ps4 xbo,gun media,horror,0,0,0,0,0,0,0,0,0,0,0,0
frost,ios and,jerome bodin,puzzle remake,0,0,0,0,0,0,0,0,0,0,0,0
full throttle remastered,pc ps4 vita ios,double fine,adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
future unfolding,pc ps4,spaces of play ug,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
galactic civilization iii crusade,pc,stardock,strategy,0,0,0,0,0,0,0,0,0,0,0,0
galaxy of pen and paper,ios and pc,behold studios,rpg,0,0,0,0,0,0,0,0,0,0,0,0
get even,pc ps4 xbo,bandai namco,action,0,0,0,0,0,0,0,0,0,0,0,0
get me outta here,ios,crescent moon games,action,0,0,0,0,0,0,0,0,0,0,0,0
getting over it with bennett foddy,pc ios,humble bundle,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
gigantic,pc xbo,perfect world entertainment,shooter,0,0,0,0,0,0,0,0,0,0,0,0
golf story,nsw,sidebar games,rpg simulation,0,0,0,0,0,0,0,0,0,0,0,0
golf zero,ios and,brad erkkila,sports,0,0,0,0,0,0,0,0,0,0,0,0
gorogoa,pc ios and nsw,annapurna interactive,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
graceful explosion machine,pc ps4 nsw,vertex pop,action,0,0,0,0,0,0,0,0,0,0,0,0
gran turismo sport,ps4,sony,vr racing,0,0,0,0,0,0,0,0,0,0,0,0
gravity rush 2,ps4,sony,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
grimoire heralds of the winged exemplar,pc,golden era games,rpg,0,0,0,0,0,0,0,0,0,0,0,0
guardians of the galaxy the telltale series,pc ps4 xbo nsw and ios,telltale games,adventure,0,0,0,0,0,0,0,0,0,0,0,0
guild wars 2 path of fire,pc,ncsoft,rpg,0,0,0,0,0,0,0,0,0,0,0,0
guilty gear xrd rev 2,ps4,arc system works,fighting,0,0,0,0,0,0,0,0,0,0,0,0
gun metal arcadia,pc,minor key games,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
gundam versus,ps4,bandai namco,action,0,0,0,0,0,0,0,0,0,0,0,0
hakuoki kyoto winds,pc vita,idea factory,adventure,0,0,0,0,0,0,0,0,0,0,0,0
halo wars 2,pc xbo,microsoft,strategy,0,0,0,0,0,0,0,0,0,0,0,0
hand of fate 2,pc ps4 xbo,defiant development,board+card,0,0,0,0,0,0,0,0,0,0,0,0
hatsune miku project diva future tone,ps4,sega,rhythm,0,0,0,0,0,0,0,0,0,0,0,0
hearthstone expansions,pc ios and,activision blizzard,board+card,0,0,0,0,0,0,0,0,0,0,0,0
heat signature,pc,suspicious developments,action,0,0,0,0,0,0,0,0,0,0,0,0
hellblade senuas sacrifice,pc ps4,ninja theory,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
hello neighbor,pc xbo,tinybuild,horror,0,0,0,0,0,0,0,0,0,0,0,0
herald an interactive period drama,pc,wispfire,adventure,0,0,0,0,0,0,0,0,0,0,0,0
hey pikmin,3ds,nintendo,action,0,0,0,0,0,0,0,0,0,0,0,0
hidden agenda,ps4,sony,board+card,0,0,0,0,0,0,0,0,0,0,0,0
hidden folks,ios pc,adriaan de jongh and sylvian tegroeg,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
high hell,pc,devolver digital,shooter,0,0,0,0,0,0,0,0,0,0,0,0
hiveswap,pc,what pumpkin,adventure,0,0,0,0,0,0,0,0,0,0,0,0
hob,pc ps4,runic games,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
hollow knight,pc,team cherry,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
horizon zero dawn,ps4,sony,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
hq,ios,intermedia labs,board+card,0,0,0,0,0,0,0,0,0,0,0,0
human resource machine,nsw,2d boy,puzzle remake,0,0,0,0,0,0,0,0,0,0,0,0
infinite minigolf,pc ps4 xbo nsw,zen studios,sports,0,0,0,0,0,0,0,0,0,0,0,0
injustice 2,ps4 xbo ios and,wb,fighting,0,0,0,0,0,0,0,0,0,0,0,0
iron marines,ios and,ironhide game studio,action,0,0,0,0,0,0,0,0,0,0,0,0
itadaki street dragon quest and final fantasy 30th anniversary,ps4 vita,square enix,board+card,0,0,0,0,0,0,0,0,0,0,0,0
jaipur a card game of duals,ios and,asmodee digital,board+card,0,0,0,0,0,0,0,0,0,0,0,0
just dance 2018,ps4 ps3 xbo 360 wii wiiu nsw,ubisoft,rhythm,0,0,0,0,0,0,0,0,0,0,0,0
kami 2,ios and,state of play,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
kamiko,nsw,flyhigh works,action,0,0,0,0,0,0,0,0,0,0,0,0
ken folletts the pillars of the earth,pc ps4 xbo,daedalic entertainment,adventure,0,0,0,0,0,0,0,0,0,0,0,0
kingdom hearts hd 15 + 25 remix,ps4,square enix,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
kingdom hearts hd 28 final chapter,ps4,square enix,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
knack ii,ps4,sony,action,0,0,0,0,0,0,0,0,0,0,0,0
kona,pc ps4 xbo,parabole,adventure,0,0,0,0,0,0,0,0,0,0,0,0
kono subarashii sekai ni shukufuku wo fukkatsu no beldia,pc,kadokawa shoten,action,0,0,0,0,0,0,0,0,0,0,0,0
la noire,ps4 xbo nsw,take two,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
last day of june,pc ps4,505 games,adventure,0,0,0,0,0,0,0,0,0,0,0,0
late shift,pc ps4 xbo,wales interactive,adventure,0,0,0,0,0,0,0,0,0,0,0,0
lawbreakers,pc ps4,nexon,shooter,0,0,0,0,0,0,0,0,0,0,0,0
lego marvel super heroes 2,pc ps4 xbo nsw,wb,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
life is strange before the storm,pc ps4 xbo,square enix,adventure,0,0,0,0,0,0,0,0,0,0,0,0
linelight,pc ps4 ios,my dog zorro,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
little nightmares,pc ps4 xbo,bandai namco,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
lone echo,pc,oculus,vr action adventure,0,0,0,0,0,0,0,0,0,0,0,0
lone echo echo arena,pc,oculus,vr action,0,0,0,0,0,0,0,0,0,0,0,0
madden nfl 18,ps4 xbo,ea,sports,0,0,0,0,0,0,0,0,0,0,0,0
mario & luigi superstar saga + bowsers minions,3ds,nintendo,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
mario + rabbids kingdom battle,nsw,ubisoft,strategy,0,0,0,0,0,0,0,0,0,0,0,0
mario kart 8 deluxe,nsw,nintendo,racing remake,0,0,0,0,0,0,0,0,0,0,0,0
mario party the top 100,3ds,nintendo,action,0,0,0,0,0,0,0,0,0,0,0,0
marvel vs capcom infinite,pc ps4 xbo,capcom,fighting,0,0,0,0,0,0,0,0,0,0,0,0
mary skelter nightmares,vita,idea factory,rpg,0,0,0,0,0,0,0,0,0,0,0,0
mass effect andromeda,pc ps4 xbo,ea,rpg,0,0,0,0,0,0,0,0,0,0,0,0
master x master,pc,ncsoft,action,0,0,0,0,0,0,0,0,0,0,0,0
megaton rainfall,pc ps4,pentadimensional games,vr action,0,0,0,0,0,0,0,0,0,0,0,0
metroid samus returns,3ds,nintendo,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
middle earth shadow of war,pc ps4 xbo,wb,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
mighty gunvolt burst,nsw 3ds,inti creates,action,0,0,0,0,0,0,0,0,0,0,0,0
miitopia,3ds,nintendo,rpg,0,0,0,0,0,0,0,0,0,0,0,0
miles and kilo,ios,michael burns,action,0,0,0,0,0,0,0,0,0,0,0,0
milkmaid of the milky way,ios and pc,machineboy,adventure,0,0,0,0,0,0,0,0,0,0,0,0
minecraft new nintendo 3ds edition,3ds,mojang,simulation remake,0,0,0,0,0,0,0,0,0,0,0,0
minecraft nintendo switch edition,nsw,mojang,simulation remake,0,0,0,0,0,0,0,0,0,0,0,0
miracle merchant,ios and,arnold rauers,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
miss fisher and the deathly maze ep 1,ios,gamebook adventures,adventure,0,0,0,0,0,0,0,0,0,0,0,0
missile cards,ios pc,nathan meunier,board+card,0,0,0,0,0,0,0,0,0,0,0,0
mlb the show 17,ps4,sony,sports,0,0,0,0,0,0,0,0,0,0,0,0
monolith,pc,team d 13,action,0,0,0,0,0,0,0,0,0,0,0,0
monster hunter stories,3ds,capcom,rpg,0,0,0,0,0,0,0,0,0,0,0,0
monster hunter xx,nsw,capcom,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
monument valley 2,ios and,ustwo games,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
morphite,pc ps4 xbo nsw ios,crescent moon games,shooter,0,0,0,0,0,0,0,0,0,0,0,0
motorsport manager mobile 2,ios and,playsport games,simulation,0,0,0,0,0,0,0,0,0,0,0,0
mulmashtabbagalgal,ios,riverman media,action,0,0,0,0,0,0,0,0,0,0,0,0
muv luv alternative,pc,degica,adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
naruto shippuden ultimate ninja storm 4 road to boruto,ps4 xbo,bandai namco,fighting,0,0,0,0,0,0,0,0,0,0,0,0
nba 2k18,pc ps4 ps3 xbo 360 nsw,take two,sports,0,0,0,0,0,0,0,0,0,0,0,0
nba live 18,ps4 xbo,ea,sports,0,0,0,0,0,0,0,0,0,0,0,0
nba playgrounds,pc ps4 xbo nsw,mad dog games,sports,0,0,0,0,0,0,0,0,0,0,0,0
need for speed payback,pc ps4 xbo,ea,racing,0,0,0,0,0,0,0,0,0,0,0,0
new frontier days founding pioneers,nsw,arc system works,simulation,0,0,0,0,0,0,0,0,0,0,0,0
nex machina death machine,pc ps4,housemarque,action,0,0,0,0,0,0,0,0,0,0,0,0
nhl 18,ps4 xbo,ea,sports,0,0,0,0,0,0,0,0,0,0,0,0
nidhogg 2,pc ps4,messhof,fighting,0,0,0,0,0,0,0,0,0,0,0,0
nier automata,pc ps4,square enix,rpg,0,0,0,0,0,0,0,0,0,0,0,0
night in the woods,pc ps4 xbo,finji,adventure,0,0,0,0,0,0,0,0,0,0,0,0
nights of azure 2 bride of the new moon,pc ps4 nsw vita,koei tecmo,action,0,0,0,0,0,0,0,0,0,0,0,0
nioh,pc ps4,koei tecmo,action,0,0,0,0,0,0,0,0,0,0,0,0
observer,pc ps4 xbo,aspyr,horror,0,0,0,0,0,0,0,0,0,0,0,0
okami hd,pc ps4 xbo,capcom,rpg,0,0,0,0,0,0,0,0,0,0,0,0
old mans journey,pc ios,broken rules,adventure,0,0,0,0,0,0,0,0,0,0,0,0
omega quinet,pc,idea factory,rpg,0,0,0,0,0,0,0,0,0,0,0,0
