Title,Platforms,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner-up
bayonetta 1&2,pc,other,action,3,0,1,0,0,0,0,0,0,0,0,0
azur lane,pc,other,action,3,0,1,0,0,0,0,0,0,0,0,0
bloodstained curse of the moon,pc ps4 xbo nsw 3ds vita,intl creates,action,3,0,0,1,0,0,0,0,0,0,0,0
kirby star allies,nsw,nintendo,action,3,0,0,1,0,0,0,0,0,0,0,0
street fighter v arcade edition,pc ps4,capcom,fighting remake,3,0,0,1,0,0,0,0,0,0,0,0
synthetik legion rising,pc,flow fire games,action,3,0,0,1,0,0,0,0,0,0,0,0
the alliance alive,3ds,atlus,rpg,3,0,0,1,0,0,0,0,0,0,0,0
the council,ps4 xbo,focus,adventure,3,0,0,1,0,0,0,0,0,0,0,0
the missing jj macfield and the island of memories,pc ps4 xbo nsw,arc system works,adventure,3,0,0,1,0,0,0,0,0,0,0,0
zone of the enders remake,pc,other,action,3,0,0,1,0,0,0,0,0,0,0,0
the messenger,pc nsw,devolver digital,action,3,0,0,0,1,0,0,0,0,1,0,0
donkey kong country tropical freeze,nsw,nintendo,action remake,3,0,0,0,1,0,0,0,0,0,1,0
frostpunk,pc,11 bit studios,simulation,3,0,0,0,0,0,1,0,0,1,0,0
zeroranger,pc,system erasure,action,3,0,0,0,0,0,0,3,0,0,0,0
the missing jj macfiled and the island of memories,pc,other,action,3,0,0,0,0,0,0,0,3,0,0,0
higurashi when they cry hou ch6 tsumihoroboshi,pc,mangagamer,adventure,2,0,0,0,1,0,0,0,0,0,0,0
overcooked 2,pc ps4 xbo nsw,team 17,prcb,2,0,0,0,1,0,0,0,0,0,0,0
sid meiers civilization vi rise and fall,pc,take two,strategy,2,0,0,0,1,0,0,0,0,0,0,0
pillars of eternity 2,pc,other,action,2,0,0,0,1,0,0,0,0,0,0,0
phantasy star,pc,other,action,2,0,0,0,1,0,0,0,0,0,0,0
pinball fx3williams table pack 2,pc,other,action,2,0,0,0,1,0,0,0,0,0,0,0
